id,icon_key,category,product_name,relative_path,tags
1,dairy-milk-0001,dairy,FreshFarm Milk 100 g,/product-icons/generated/dairy-milk-0001.webp,"dairy,milk,100-g,freshfarm"
2,dairy-milk-0002,dairy,FreshFarm Milk 200 g,/product-icons/generated/dairy-milk-0002.webp,"dairy,milk,200-g,freshfarm"
3,dairy-milk-0003,dairy,FreshFarm Milk 250 g,/product-icons/generated/dairy-milk-0003.webp,"dairy,milk,250-g,freshfarm"
4,dairy-milk-0004,dairy,FreshFarm Milk 500 g,/product-icons/generated/dairy-milk-0004.webp,"dairy,milk,500-g,freshfarm"
5,dairy-milk-0005,dairy,FreshFarm Milk 1 kg,/product-icons/generated/dairy-milk-0005.webp,"dairy,milk,1-kg,freshfarm"
6,dairy-milk-0006,dairy,FreshFarm Milk 100 ml,/product-icons/generated/dairy-milk-0006.webp,"dairy,milk,100-ml,freshfarm"
7,dairy-milk-0007,dairy,FreshFarm Milk 200 ml,/product-icons/generated/dairy-milk-0007.webp,"dairy,milk,200-ml,freshfarm"
8,dairy-milk-0008,dairy,FreshFarm Milk 500 ml,/product-icons/generated/dairy-milk-0008.webp,"dairy,milk,500-ml,freshfarm"
9,dairy-milk-0009,dairy,FreshFarm Milk 1 L,/product-icons/generated/dairy-milk-0009.webp,"dairy,milk,1-l,freshfarm"
10,dairy-milk-0010,dairy,FreshFarm Milk 2 L,/product-icons/generated/dairy-milk-0010.webp,"dairy,milk,2-l,freshfarm"
11,dairy-milk-0011,dairy,FreshFarm Milk Pack of 2,/product-icons/generated/dairy-milk-0011.webp,"dairy,milk,pack-of-2,freshfarm"
12,dairy-milk-0012,dairy,FreshFarm Milk Pack of 4,/product-icons/generated/dairy-milk-0012.webp,"dairy,milk,pack-of-4,freshfarm"
13,dairy-milk-0013,dairy,FreshFarm Milk Pack of 6,/product-icons/generated/dairy-milk-0013.webp,"dairy,milk,pack-of-6,freshfarm"
14,dairy-milk-0014,dairy,FreshFarm Milk Family Pack,/product-icons/generated/dairy-milk-0014.webp,"dairy,milk,family-pack,freshfarm"
15,dairy-milk-0015,dairy,FreshFarm Milk Mini,/product-icons/generated/dairy-milk-0015.webp,"dairy,milk,mini,freshfarm"
16,dairy-milk-0016,dairy,FreshFarm Milk Regular,/product-icons/generated/dairy-milk-0016.webp,"dairy,milk,regular,freshfarm"
17,dairy-milk-0017,dairy,FreshFarm Milk Premium,/product-icons/generated/dairy-milk-0017.webp,"dairy,milk,premium,freshfarm"
18,dairy-milk-0018,dairy,FreshFarm Milk Value,/product-icons/generated/dairy-milk-0018.webp,"dairy,milk,value,freshfarm"
19,dairy-milk-0019,dairy,DailyChoice Milk 100 g,/product-icons/generated/dairy-milk-0019.webp,"dairy,milk,100-g,dailychoice"
20,dairy-milk-0020,dairy,DailyChoice Milk 200 g,/product-icons/generated/dairy-milk-0020.webp,"dairy,milk,200-g,dailychoice"
21,dairy-milk-0021,dairy,DailyChoice Milk 250 g,/product-icons/generated/dairy-milk-0021.webp,"dairy,milk,250-g,dailychoice"
22,dairy-milk-0022,dairy,DailyChoice Milk 500 g,/product-icons/generated/dairy-milk-0022.webp,"dairy,milk,500-g,dailychoice"
23,dairy-milk-0023,dairy,DailyChoice Milk 1 kg,/product-icons/generated/dairy-milk-0023.webp,"dairy,milk,1-kg,dailychoice"
24,dairy-milk-0024,dairy,DailyChoice Milk 100 ml,/product-icons/generated/dairy-milk-0024.webp,"dairy,milk,100-ml,dailychoice"
25,dairy-milk-0025,dairy,DailyChoice Milk 200 ml,/product-icons/generated/dairy-milk-0025.webp,"dairy,milk,200-ml,dailychoice"
